iter	Logloss
0	0.5954600836
1	0.5469169249
2	0.5159169194
3	0.4962660597
4	0.482290659
5	0.4735498257
6	0.4669226725
7	0.4611613403
8	0.4571700532
9	0.4533694148
10	0.4514235745
11	0.448560983
12	0.446904625
13	0.4453437205
14	0.4441897572
15	0.442479117
16	0.4405205141
17	0.4394930675
18	0.4383688708
19	0.4375491046
20	0.436635596
21	0.4358347715
22	0.434947357
23	0.434331499
24	0.4334776262
25	0.4324843758
26	0.4318681875
27	0.4312467167
28	0.4309314736
29	0.4303824563
30	0.4300555266
31	0.4295741188
32	0.4291294122
33	0.4286361578
34	0.4283097849
35	0.427874196
36	0.427528073
37	0.4271262267
38	0.4267697559
39	0.4264350231
40	0.4260979994
41	0.4258815354
42	0.4256050419
43	0.4252972922
44	0.4248748915
45	0.4246078056
46	0.424297444
47	0.4240198162
48	0.423788656
49	0.4234125769
50	0.4231682549
51	0.4228894726
52	0.4226244759
53	0.4223131088
54	0.4220762421
55	0.4217432174
56	0.4213949284
57	0.4210917031
58	0.4208556471
59	0.4206297306
60	0.4203599984
61	0.4201911656
62	0.4198302384
63	0.4195900192
64	0.4193153195
65	0.4190923456
66	0.4188369481
67	0.4186485675
68	0.4184276564
69	0.4182309671
70	0.4180186652
71	0.4178154159
72	0.4176496487
73	0.4174580837
74	0.4172536914
75	0.416982698
76	0.4167804211
77	0.4165878485
78	0.4163799431
79	0.4161410168
80	0.4160042434
81	0.4157852739
82	0.4155999493
83	0.4154436896
84	0.4152229508
85	0.4150101549
86	0.4147963613
87	0.4146010947
88	0.4143634015
89	0.4140788175
90	0.4139810903
91	0.413825614
92	0.4137373785
93	0.4136012649
94	0.4134295089
95	0.4132377042
96	0.4130892043
97	0.4129358483
98	0.4128422279
99	0.4126716307
100	0.4125038222
101	0.4122915821
102	0.4121351822
103	0.4119687852
104	0.4117116614
105	0.411469984
106	0.4113567059
107	0.4111393053
108	0.4109726109
109	0.4108333552
110	0.4107129768
111	0.4105902215
112	0.4104383493
113	0.410352734
114	0.4102537009
115	0.4101433572
116	0.4100525402
117	0.4097830814
118	0.4096449455
119	0.4095223556
120	0.4093962546
121	0.4092714451
122	0.4090867843
123	0.4089957733
124	0.4088996548
125	0.4085896088
126	0.4085252911
127	0.4084296659
128	0.4082931704
129	0.4080776918
130	0.4078966653
131	0.4077955695
132	0.4076694536
133	0.4075331646
134	0.4074371888
135	0.4073288888
136	0.4071967454
137	0.407050282
138	0.4069407952
139	0.4067814796
140	0.4066989106
141	0.406611823
142	0.4064666282
143	0.4063908986
144	0.4063061938
145	0.4061147907
146	0.4059652194
147	0.4057406462
148	0.4054720243
149	0.4054042276
150	0.4053337799
151	0.4052599784
152	0.4051620773
153	0.4050140381
154	0.4048964526
155	0.404752446
156	0.4046148494
157	0.4045371452
158	0.4043761294
159	0.4041085112
160	0.4040130835
161	0.4038682355
162	0.403771766
163	0.4036310837
164	0.4034990516
165	0.4034023367
166	0.4032784847
167	0.4030959925
168	0.4030167423
169	0.4029505672
170	0.4028399254
171	0.4027527099
172	0.4025831625
173	0.4024206944
174	0.4022277483
175	0.4021036921
176	0.4020067459
177	0.4019038389
178	0.401771771
179	0.4016399988
180	0.4015659742
181	0.4013624236
182	0.4012731458
183	0.4011822449
184	0.401001676
185	0.400938744
186	0.4008961821
187	0.4006552127
188	0.4005693516
189	0.4004564659
190	0.4003211782
191	0.4001642768
192	0.4000716146
193	0.3999260473
194	0.3997992461
195	0.3997003959
196	0.3995530378
197	0.399435823
198	0.3993852451
199	0.3993243144
200	0.3991257889
201	0.3990539223
202	0.3989959699
203	0.3988988086
204	0.3988020655
205	0.3986632286
206	0.3985627966
207	0.3984371331
208	0.3982998968
