iter	Passed	Remaining
0	31	41468
1	58	38979
2	87	38623
3	114	37913
4	141	37530
5	166	36789
6	189	35962
7	214	35568
8	240	35450
9	270	35858
10	297	35762
11	321	35449
12	346	35189
13	373	35254
14	402	35350
15	428	35259
16	456	35343
17	486	35596
18	514	35595
19	541	35564
20	567	35488
21	592	35324
22	618	35260
23	646	35262
24	672	35232
25	701	35281
26	726	35156
27	751	35042
28	776	34927
29	800	34782
30	824	34671
31	848	34521
32	875	34506
33	905	34605
34	933	34654
35	961	34676
36	988	34667
37	1014	34605
38	1041	34570
39	1066	34490
40	1090	34395
41	1115	34305
42	1143	34322
43	1170	34304
44	1194	34227
45	1220	34169
46	1246	34119
47	1270	34049
48	1296	33988
49	1324	34010
50	1355	34099
51	1382	34080
52	1411	34112
53	1439	34118
54	1466	34103
55	1493	34086
56	1522	34103
57	1552	34149
58	1582	34195
59	1608	34147
60	1636	34159
61	1663	34136
62	1690	34109
63	1718	34092
64	1745	34073
65	1775	34108
66	1803	34113
67	1830	34088
68	1854	34003
69	1880	33962
70	1908	33949
71	1936	33933
72	1964	33936
73	1991	33910
74	2020	33909
75	2050	33934
76	2079	33951
77	2108	33948
78	2134	33901
79	2161	33888
80	2191	33897
81	2219	33890
82	2251	33928
83	2278	33909
84	2307	33902
85	2335	33885
86	2361	33853
87	2390	33850
88	2418	33825
89	2466	34094
90	2498	34127
91	2527	34116
92	2554	34091
93	2581	34054
94	2605	33986
95	2626	33868
96	2647	33761
97	2667	33649
98	2689	33554
99	2712	33470
100	2733	33374
101	2755	33277
102	2775	33177
103	2796	33078
104	2817	32973
105	2837	32870
106	2857	32773
107	2880	32694
108	2903	32631
109	2927	32577
110	2952	32527
111	2976	32477
112	2998	32400
113	3018	32308
114	3039	32221
115	3061	32146
116	3082	32063
117	3103	31982
118	3127	31929
119	3147	31842
120	3166	31746
121	3187	31664
122	3206	31569
123	3225	31476
124	3244	31381
125	3264	31301
126	3284	31219
127	3306	31153
128	3330	31111
129	3352	31049
130	3372	30970
131	3392	30889
132	3411	30810
133	3432	30735
134	3453	30669
135	3473	30594
136	3492	30515
137	3511	30434
138	3535	30396
139	3556	30331
140	3576	30264
141	3596	30188
142	3616	30122
143	3636	30052
144	3657	29994
145	3678	29929
146	3697	29859
147	3717	29790
148	3736	29717
149	3758	29669
150	3779	29612
151	3800	29551
152	3820	29489
153	3842	29440
154	3862	29381
155	3881	29313
156	3900	29244
157	3920	29181
158	3941	29127
159	3961	29067
160	3982	29018
161	4004	28972
162	4025	28919
163	4047	28872
164	4067	28815
165	4086	28753
166	4105	28689
167	4126	28637
168	4145	28575
169	4164	28517
170	4183	28455
171	4207	28422
172	4229	28383
173	4248	28320
174	4267	28264
175	4287	28207
176	4305	28145
177	4324	28086
178	4343	28027
179	4362	27970
180	4380	27907
181	4399	27847
182	4419	27796
183	4441	27761
184	4461	27706
185	4479	27650
186	4498	27595
187	4519	27550
188	4538	27497
189	4559	27455
190	4580	27412
191	4603	27382
192	4625	27345
193	4650	27327
194	4672	27295
195	4695	27260
196	4718	27231
197	4739	27190
198	4760	27151
199	4782	27119
200	4803	27078
201	4824	27035
202	4849	27020
203	4874	27002
204	4900	26991
205	4925	26971
206	4949	26945
207	4974	26928
208	4995	26891
209	5016	26852
210	5037	26810
211	5059	26776
212	5082	26746
213	5105	26722
214	5130	26700
215	5151	26662
216	5174	26637
217	5198	26612
218	5219	26573
219	5242	26544
220	5264	26511
221	5286	26482
222	5308	26446
223	5331	26421
224	5357	26404
225	5379	26376
226	5402	26345
227	5424	26312
228	5446	26280
229	5469	26252
230	5492	26224
231	5514	26194
232	5539	26174
233	5562	26149
234	5603	26203
235	5628	26187
236	5655	26176
237	5676	26142
238	5699	26112
239	5719	26070
240	5739	26030
241	5760	25994
242	5784	25972
243	5806	25938
244	5828	25906
245	5849	25869
246	5870	25835
247	5890	25792
248	5911	25758
249	5930	25716
250	5950	25675
251	5974	25650
252	5996	25623
253	6020	25597
254	6041	25565
255	6064	25539
256	6086	25506
257	6106	25469
258	6127	25433
259	6149	25403
260	6172	25374
261	6193	25339
262	6213	25301
263	6232	25261
264	6251	25219
265	6273	25186
266	6293	25152
267	6313	25112
268	6333	25076
269	6355	25044
270	6377	25017
271	6402	24996
272	6423	24964
273	6445	24934
274	6466	24900
275	6486	24863
276	6506	24826
277	6525	24788
278	6546	24754
279	6567	24720
280	6589	24692
281	6611	24664
282	6633	24635
